NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,20,20,20,20
16x16,20,20,20,20
17x17,20,20,20,19.4
18x18,20,20,20,9
19x19,20,20,20,4.8
20x20,20,20,15,4.2
21x21,20,19.8,9.4,5.2
22x22,20,20,11,4.2
23x23,20,19.8,10.8,4
24x24,20,20,8.8,15.2
25x25,20,20,8.2,16.2
