NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,20,20,18.8,20
16x16,20,20,17,20
17x17,20,20,19.8,20
18x18,20,20,20,20
19x19,20,20,20,19.2
20x20,20,20,20,20
21x21,20,20,20,19
22x22,19.8,20,20,19.2
23x23,20,19.4,20,19.83333333
24x24,20,20,20,18.6
25x25,19.6,20,20,18.8
