Strategy,# Best,# 2nd,# 3rd,# Worst
Communication,9.333333333,1.5,0.166666667,0
Non-Communication,10.16666667,0.666666667,0.166666667,0
Brute Force Detecting,7.5,2.166666667,0.5,0.833333333
Brute Force Non-Detecting,3.333333333,5,1.5,1.166666667
