Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,11,0,0,0,23
CC - RS,11,0,0,0,16
RC - FS,9,2,0,0,19
RC - RS,4,6,1,0,5
SC - FS,11,0,0,0,26
SC - RS,11,0,0,0,16
MEAN:,9.714285714,1.333333333,0.166666667,0,17.5
VARI:,5.918367375,4.888888889,0.138888889,0,44.25
STDD:,2.432769481,2.211083194,0.372677996,0,6.652067348
