Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,0,0,0,0,0
CC - RS,0,0,0,0,0
RC - FS,0,0,0,0,0
RC - RS,0,0,0,0,0
SC - FS,0,0,0,0,0
SC - RS,0,0,0,0,0
MEAN:,0,0,0,0,0
VARI:,0,0,0,0,0
STDD:,0,0,0,0,0
