Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,3,3,5,0,0
CC - RS,3,7,1,0,0
RC - FS,1,5,5,0,0
RC - RS,2,8,1,0,0
SC - FS,1,10,0,0,0
SC - RS,6,5,0,0,0
MEAN:,2.666666667,6.333333333,2,0,0
VARI:,2.888888889,5.222222223,4.666666667,0,0
STDD:,1.699673171,2.2852182,2.160246899,0,0
