Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,1,5,4,1,0
CC - RS,1,1,7,2,3
RC - FS,6,2,1,2,0
RC - RS,6,1,3,1,2
SC - FS,0,0,10,1,0
SC - RS,1,0,10,0,5
MEAN:,2.5,1.5,5.833333333,1.166666667,1.666666667
VARI:,6.25,2.916666667,11.80555555,0.472222222,3.555555556
STDD:,2.5,1.707825128,3.435921355,0.687184271,1.885618083
