Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,7,3,1,0,0
CC - RS,7,3,1,0,0
RC - FS,3,5,3,0,0
RC - RS,3,2,1,5,0
SC - FS,10,1,0,0,0
SC - RS,4,6,1,0,0
MEAN:,5.666666667,3.333333333,1.166666667,0.833333333,0
VARI:,6.555555555,2.888888889,0.805555556,3.472222222,0
STDD:,2.560381916,1.699673171,0.897527468,1.863389981,0
