Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,0,0,1,10,0
CC - RS,0,0,5,6,3
RC - FS,0,0,2,9,0
RC - RS,0,0,8,3,2
SC - FS,0,0,1,10,0
SC - RS,0,0,5,6,5
MEAN:,0,0,3.666666667,7.333333333,1.666666667
VARI:,0,0,6.555555555,6.555555555,3.555555556
STDD:,0,0,2.560381916,2.560381916,1.885618083
