Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,2,3,6,0,0
CC - RS,2,7,2,0,0
RC - FS,3,3,5,0,0
RC - RS,1,7,3,0,0
SC - FS,1,10,0,0,0
SC - RS,4,5,2,0,0
MEAN:,2.166666667,5.833333333,3,0,0
VARI:,1.138888889,6.138888888,4,0,0
STDD:,1.067187373,2.477678124,2,0,0
