Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,0,0,0,11,0
CC - RS,0,0,0,11,0
RC - FS,0,0,2,9,0
RC - RS,0,0,1,10,0
SC - FS,0,0,0,11,0
SC - RS,0,0,0,11,0
MEAN:,0,0,0.5,10.5,0
VARI:,0,0,0.583333333,0.583333333,0
STDD:,0,0,0.763762616,0.763762616,0
