Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,7,3,1,0,0
CC - RS,8,3,0,0,0
RC - FS,3,4,4,0,0
RC - RS,2,3,5,1,0
SC - FS,10,1,0,0,0
SC - RS,7,4,0,0,0
MEAN:,6.166666667,3,1.666666667,0.166666667,0
VARI:,7.805555555,1,4.222222222,0.138888889,0
STDD:,2.793842436,1,2.054804668,0.372677996,0
