Test / Metric,# Best,# 2nd,# 3rd,# Worst,# Ties / 33
CC - FS,2,5,4,0,0
CC - RS,1,1,9,0,0
RC - FS,6,3,0,2,0
RC - RS,8,1,2,0,0
SC - FS,0,0,11,0,0
SC - RS,0,2,9,0,0
MEAN:,2.833333333,2,5.833333333,0.333333333,0
VARI:,9.472222223,2.666666667,16.47222222,0.555555556,0
STDD:,3.077697552,1.632993162,4.058598554,0.745355993,0
