NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,1.496662955,0,0,0
16x16,2.449489743,0,0,0
17x17,2.244994432,0,0,0
18x18,1.6,0,0,0
19x19,1.469693846,0,0,0
20x20,1.166190379,0,0,0
21x21,1.414213562,0,0,0
22x22,6.64529909,0,0,0
23x23,3.382306905,0,0,0
24x24,2.315167381,0,0,0
25x25,1.549193338,0,0,0
