NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,2.8,0,0,0
16x16,2.75680975,0,0,0
17x17,4.874423043,0,0,0
18x18,2.712931993,0,0,0
19x19,6.112282716,0,0,0
20x20,2.607680962,0,0,0
21x21,3.310589071,0,0,0
22x22,4.715930449,0,0,0
23x23,3.655133376,0,0,0
24x24,2.683281573,0,0,0
25x25,4.882622246,0,0,0
